Field size:3x3
Metric: a * Manhattan + b * movesCount
Average moves for solving the puzzle depending on 'a' and 'b' coeffs:
a\b|     1      2      3      4      5      6      7      8      9     10  
 1 |   23,10  22,90  22,95  22,65  22,25  21,85  21,70  21,00  21,10  21,15  
 2 |   23,60  23,70  21,95  21,45  22,45  22,00  21,00  21,50  22,35  22,60  
 3 |   26,90  22,40  20,95  21,50  20,70  22,65  22,25  22,50  22,60  22,55  
 4 |   27,50  23,85  21,95  21,85  20,80  22,70  22,65  21,70  23,05  21,10  
 5 |   29,05  23,75  22,35  21,85  21,15  21,50  21,45  22,35  22,35  22,55  
 6 |   35,50  26,60  24,10  23,00  23,45  21,15  21,25  22,70  22,95  21,65  
 7 |   34,65  26,75  23,60  22,70  22,75  21,70  21,55  20,85  21,45  21,20  
 8 |   36,45  30,75  24,80  23,30  21,70  23,45  21,05  21,75  20,75  22,30  
 9 |   35,00  31,70  27,00  25,45  21,65  22,45  21,35  21,55  21,05  22,35  
10 |   33,70  32,10  25,55  25,15  23,70  23,85  22,70  21,65  21,25  21,40

Из таблицы, видно, что при увеличении отношения a/b растет среднее количество шагов для решения задачи.
